,type,eta
294,eta_comb,0.834571126062881
295,eta_comb,0.7879067807640135
296,eta_comb,0.8276247766336535
297,eta_comb,0.834730046231271
298,eta_comb,0.8077186372877747
299,eta_comb,0.8078787962206909
300,eta_comb,0.8005843182699829
301,eta_comb,0.8119162829604926
302,eta_comb,0.8330737007236536
303,eta_comb,0.7193730272988001
304,eta_comb,0.9031103298129083
305,eta_comb,0.8089551325079555
306,eta_comb,0.8193012968462475
307,eta_comb,0.9039382753076067
308,eta_comb,0.8474863483606091
309,eta_comb,0.8150129459281821
310,eta_comb,0.7835516819704955
311,eta_comb,0.6926768160490671
312,eta_comb,0.8210735668280192
313,eta_comb,0.8321101811590302
314,eta_comb,0.7475884002646094
