,Species,Cluster,Motif,Influe
2162,Human,Erythroid,"(4, 16)",1.843835
2172,Human,Erythroid,"(4, 17)",1.6936023
2182,Human,Erythroid,"(4, 18)",1.7663376
2184,Human,Immune,"(4, 18)",0.7060295999999999
2192,Human,Erythroid,"(4, 20)",1.8069702
2200,Human,Endothelial,"(4, 21)",0.77156353
2212,Human,Erythroid,"(4, 24)",1.5314371999999998
2222,Human,Erythroid,"(4, 26)",1.7859243000000002
2232,Human,Erythroid,"(4, 33)",1.5797162
2233,Human,Germ,"(4, 33)",0.7770439
2240,Human,Endothelial,"(4, 34)",0.70974237
2243,Human,Germ,"(4, 34)",0.98746705
2248,Human,Secretory,"(4, 34)",0.9045186
2249,Human,Stromal,"(4, 34)",0.54708624
2253,Human,Germ,"(4, 35)",1.426655
2258,Human,Secretory,"(4, 35)",0.7405527
2259,Human,Stromal,"(4, 35)",0.54335916
2262,Human,Erythroid,"(4, 37)",0.6682044
2265,Human,Muscle,"(4, 37)",0.50007117
2273,Human,Germ,"(4, 41)",0.7014945
2279,Human,Stromal,"(4, 41)",0.7480522
2282,Human,Erythroid,"(4, 42)",0.6575272
2290,Human,Endothelial,"(4, 43)",0.92173845
2293,Human,Germ,"(4, 43)",0.6045794
2299,Human,Stromal,"(4, 43)",0.52015907
2302,Human,Erythroid,"(4, 45)",1.834654
2304,Human,Immune,"(4, 45)",0.8481443000000001
2312,Human,Erythroid,"(4, 46)",1.8236755
2314,Human,Immune,"(4, 46)",0.67547464
2322,Human,Erythroid,"(4, 50)",1.5399878999999999
2332,Human,Erythroid,"(4, 51)",1.604877
2333,Human,Germ,"(4, 51)",0.5007402
2336,Human,Neuron,"(4, 51)",0.6837141999999999
2342,Human,Erythroid,"(4, 53)",1.7381861
2352,Human,Erythroid,"(4, 54)",1.5237132
2362,Human,Erythroid,"(4, 55)",1.4274371000000001
2365,Human,Muscle,"(4, 55)",0.6221274999999999
2366,Human,Neuron,"(4, 55)",0.97151285
2374,Human,Immune,"(4, 56)",0.88647664
2382,Human,Erythroid,"(4, 57)",0.77763575
2383,Human,Germ,"(4, 57)",0.7635763000000001
2392,Human,Erythroid,"(4, 58)",1.4834083
2396,Human,Neuron,"(4, 58)",0.53910905
2412,Human,Erythroid,"(4, 62)",1.7048421000000002
2413,Human,Germ,"(4, 62)",0.69883215
2430,Human,Endothelial,"(4, 64)",0.89562386
2433,Human,Germ,"(4, 64)",0.6523225
2435,Human,Muscle,"(4, 64)",0.8777625
2436,Human,Neuron,"(4, 64)",0.5821274999999999
2438,Human,Secretory,"(4, 64)",0.81455725
2439,Human,Stromal,"(4, 64)",0.69253415
2442,Human,Erythroid,"(4, 75)",1.6186641000000002
2453,Human,Germ,"(4, 76)",1.499837
2456,Human,Neuron,"(4, 76)",0.6250703000000001
2458,Human,Secretory,"(4, 76)",0.6503026
2462,Human,Erythroid,"(4, 79)",1.7568099999999998
2470,Human,Endothelial,"(4, 80)",0.8828030000000001
2472,Human,Erythroid,"(4, 80)",0.6589438
2473,Human,Germ,"(4, 80)",0.8825385
2475,Human,Muscle,"(4, 80)",0.7725709
2483,Human,Germ,"(4, 83)",1.4987066
2488,Human,Secretory,"(4, 83)",0.5525479
2493,Human,Germ,"(4, 84)",0.5391762
2494,Human,Immune,"(4, 84)",0.8960838
2502,Human,Erythroid,"(4, 85)",1.3943374
2512,Human,Erythroid,"(4, 88)",1.7780641
2522,Human,Erythroid,"(4, 89)",1.6953496
2532,Human,Erythroid,"(4, 90)",1.7244
2543,Human,Germ,"(4, 92)",1.2216097
2546,Human,Neuron,"(4, 92)",0.5305883000000001
2548,Human,Secretory,"(4, 92)",0.5397816
2553,Human,Germ,"(4, 94)",0.7284735
2559,Human,Stromal,"(4, 94)",0.6306695999999999
2562,Human,Erythroid,"(4, 95)",1.7404389
2582,Human,Erythroid,"(4, 98)",1.7892424
2584,Human,Immune,"(4, 98)",0.590287
2592,Human,Erythroid,"(4, 99)",1.8084078999999997
2602,Human,Erythroid,"(4, 102)",1.5442200000000001
2613,Human,Germ,"(4, 103)",1.1888213
2616,Human,Neuron,"(4, 103)",0.5356449999999999
2618,Human,Secretory,"(4, 103)",0.74908596
2619,Human,Stromal,"(4, 103)",0.6570307
2622,Human,Erythroid,"(4, 104)",1.7557269
2632,Human,Erythroid,"(4, 107)",0.7479253
2642,Human,Erythroid,"(4, 108)",1.0810924
2652,Human,Erythroid,"(4, 109)",1.7052262999999999
2662,Human,Erythroid,"(4, 110)",1.2171975
2672,Human,Erythroid,"(4, 115)",1.2613875
2674,Human,Immune,"(4, 115)",0.87923694
2682,Human,Erythroid,"(4, 116)",1.8093474999999999
2692,Human,Erythroid,"(4, 121)",1.4097933
2702,Human,Erythroid,"(4, 122)",1.6764313999999998
2714,Human,Immune,"(4, 123)",0.7095895000000001
2723,Human,Germ,"(4, 124)",1.2768781999999999
2729,Human,Stromal,"(4, 124)",0.6198435999999999
2732,Human,Erythroid,"(4, 127)",1.2141917
2742,Human,Erythroid,"(5, 8)",1.7047721999999998
2752,Human,Erythroid,"(5, 9)",1.6784497
2762,Human,Erythroid,"(5, 10)",1.7507254
2772,Human,Erythroid,"(5, 11)",1.8552543000000001
2782,Human,Erythroid,"(5, 12)",1.7775278
2792,Human,Erythroid,"(5, 13)",1.7261176
2794,Human,Immune,"(5, 13)",0.59531474
2802,Human,Erythroid,"(5, 14)",1.0253795
2804,Human,Immune,"(5, 14)",0.97445035
2814,Human,Immune,"(5, 15)",0.96278995
2822,Human,Erythroid,"(5, 16)",1.7694948
2824,Human,Immune,"(5, 16)",0.6393298000000001
2832,Human,Erythroid,"(5, 17)",1.6857758000000003
2834,Human,Immune,"(5, 17)",0.59586185
2842,Human,Erythroid,"(5, 18)",1.6029078
2844,Human,Immune,"(5, 18)",0.7768347
2852,Human,Erythroid,"(5, 19)",1.8105695
2862,Human,Erythroid,"(5, 20)",1.7269477999999998
2864,Human,Immune,"(5, 20)",0.64335173
2874,Human,Immune,"(5, 21)",1.2373854
2882,Human,Erythroid,"(5, 22)",1.6897853999999999
2892,Human,Erythroid,"(5, 23)",1.7748715
2902,Human,Erythroid,"(5, 24)",1.7196951
2912,Human,Erythroid,"(5, 25)",1.8823929
2922,Human,Erythroid,"(5, 26)",1.7565291
2932,Human,Erythroid,"(5, 27)",1.6381097
2942,Human,Erythroid,"(5, 28)",1.77795
2944,Human,Immune,"(5, 28)",0.77249247
2952,Human,Erythroid,"(5, 30)",1.7716197
2954,Human,Immune,"(5, 30)",0.8483813
2962,Human,Erythroid,"(5, 31)",1.5716722
2966,Human,Neuron,"(5, 31)",0.6463043
2972,Human,Erythroid,"(5, 32)",1.7699015
2974,Human,Immune,"(5, 32)",0.5383376
2982,Human,Erythroid,"(5, 33)",1.6689185000000002
2990,Human,Endothelial,"(5, 34)",0.57646966
2993,Human,Germ,"(5, 34)",1.2559218
2998,Human,Secretory,"(5, 34)",0.99584615
3003,Human,Germ,"(5, 35)",0.96036494
3012,Human,Erythroid,"(5, 36)",1.6945213
3022,Human,Erythroid,"(5, 37)",1.4971023
3024,Human,Immune,"(5, 37)",0.6307948
3032,Human,Erythroid,"(5, 38)",1.7743726000000002
