,Cluster,Motif,Influe
445,Non-seam,Motif_75,-1.0916458
446,Pharyn,Motif_75,-1.120734
447,Precursors,Motif_75,-0.6325841
448,Rectum,Motif_75,-0.9315881
449,Seam,Motif_75,-0.3726614
450,Coelomocytes,Motif_78,-0.1808472
451,Germ,Motif_78,0.08329046
452,Intestine,Motif_78,0.26131234
453,Muscle,Motif_78,0.13814306
454,Neuron,Motif_78,0.5187523
455,Non-seam,Motif_78,-1.3649127
456,Pharyn,Motif_78,-0.55828327
457,Precursors,Motif_78,-0.0075675114
458,Rectum,Motif_78,0.13941781
459,Seam,Motif_78,-0.17588536
460,Coelomocytes,Motif_80,-0.498029
461,Germ,Motif_80,-0.4092209
462,Intestine,Motif_80,-0.6967496
463,Muscle,Motif_80,-0.21410961
464,Neuron,Motif_80,-0.35410312
465,Non-seam,Motif_80,1.5886331
466,Pharyn,Motif_80,0.8857633
467,Precursors,Motif_80,0.82094693
468,Rectum,Motif_80,0.39762554
469,Seam,Motif_80,0.68443054
470,Coelomocytes,Motif_81,-0.2943431
471,Germ,Motif_81,0.02838592
472,Intestine,Motif_81,0.26475665
473,Muscle,Motif_81,0.2545892
474,Neuron,Motif_81,0.24249257
475,Non-seam,Motif_81,-1.1499305
476,Pharyn,Motif_81,-0.93559676
477,Precursors,Motif_81,-0.5550086
478,Rectum,Motif_81,-0.6582895
479,Seam,Motif_81,-0.36532563
480,Coelomocytes,Motif_83,-0.4428074
481,Germ,Motif_83,-0.4428074
482,Intestine,Motif_83,-0.4428074
483,Muscle,Motif_83,0.1324304
484,Neuron,Motif_83,0.83804524
485,Non-seam,Motif_83,-0.44273332
486,Pharyn,Motif_83,-0.4428074
487,Precursors,Motif_83,-0.4428074
488,Rectum,Motif_83,-0.4428074
489,Seam,Motif_83,-0.4428074
490,Coelomocytes,Motif_88,-0.3832839
491,Germ,Motif_88,-0.40285528
492,Intestine,Motif_88,-0.47521132
493,Muscle,Motif_88,0.18915673
494,Neuron,Motif_88,0.9066602
495,Non-seam,Motif_88,-0.6199572
496,Pharyn,Motif_88,-0.53261554
497,Precursors,Motif_88,-0.59961176
498,Rectum,Motif_88,-0.42142627
499,Seam,Motif_88,-0.5307931
500,Coelomocytes,Motif_89,-0.16698352
501,Germ,Motif_89,-0.38581535
502,Intestine,Motif_89,-0.026820926
503,Muscle,Motif_89,-0.07942216
504,Neuron,Motif_89,-0.44566658
505,Non-seam,Motif_89,1.3836753
506,Pharyn,Motif_89,0.49821252
507,Precursors,Motif_89,0.26521972
508,Rectum,Motif_89,-0.13782601
509,Seam,Motif_89,0.41212124
510,Coelomocytes,Motif_90,-0.3491359
511,Germ,Motif_90,-0.03193259
512,Intestine,Motif_90,-0.021664957
513,Muscle,Motif_90,-0.09085829
514,Neuron,Motif_90,-0.98574954
515,Non-seam,Motif_90,1.0658474
516,Pharyn,Motif_90,0.42802826
517,Precursors,Motif_90,0.6174723
518,Rectum,Motif_90,0.03406449
519,Seam,Motif_90,0.6696878
520,Coelomocytes,Motif_91,-0.20817709
521,Germ,Motif_91,-0.076487914
522,Intestine,Motif_91,-0.034435626
523,Muscle,Motif_91,0.0615873
524,Neuron,Motif_91,0.72911584
525,Non-seam,Motif_91,-1.3335385
526,Pharyn,Motif_91,-0.47244018
527,Precursors,Motif_91,0.09265179
528,Rectum,Motif_91,0.26437128
529,Seam,Motif_91,-0.23734356
530,Coelomocytes,Motif_92,0.2296945
531,Germ,Motif_92,-0.037611935
532,Intestine,Motif_92,-0.087198086
533,Muscle,Motif_92,-0.30082723
534,Neuron,Motif_92,-0.5137071
535,Non-seam,Motif_92,1.0453147
536,Pharyn,Motif_92,0.81896055
537,Precursors,Motif_92,0.948922
538,Rectum,Motif_92,0.59442794
539,Seam,Motif_92,0.6465915
540,Coelomocytes,Motif_94,0.5478616
541,Germ,Motif_94,0.24414758
542,Intestine,Motif_94,0.13830593
543,Muscle,Motif_94,-0.11843561
544,Neuron,Motif_94,-0.07903057
545,Non-seam,Motif_94,0.508335
546,Pharyn,Motif_94,0.5488549
547,Precursors,Motif_94,0.06767632
548,Rectum,Motif_94,0.47301698
549,Seam,Motif_94,0.06453519
550,Coelomocytes,Motif_95,-0.2062228
551,Germ,Motif_95,0.49760842
552,Intestine,Motif_95,0.61503047
553,Muscle,Motif_95,0.446765
554,Neuron,Motif_95,-0.7575634
555,Non-seam,Motif_95,-0.24155925
556,Pharyn,Motif_95,-1.0306593
557,Precursors,Motif_95,-1.1155401
558,Rectum,Motif_95,-1.5619398
559,Seam,Motif_95,-0.4399048
560,Coelomocytes,Motif_96,-0.6236949
561,Germ,Motif_96,-0.27814704
562,Intestine,Motif_96,0.3007543
563,Muscle,Motif_96,-0.06682387
564,Neuron,Motif_96,-0.15141672
565,Non-seam,Motif_96,-0.74535596
566,Pharyn,Motif_96,-0.20527433
567,Precursors,Motif_96,0.9147393
568,Rectum,Motif_96,0.29214835
569,Seam,Motif_96,0.5343583
570,Coelomocytes,Motif_98,-0.45373318
571,Germ,Motif_98,-0.42825264
572,Intestine,Motif_98,-0.124579445
573,Muscle,Motif_98,-0.17644703
574,Neuron,Motif_98,0.4267866
575,Non-seam,Motif_98,-0.7559821
576,Pharyn,Motif_98,0.018574405
577,Precursors,Motif_98,1.1346159
578,Rectum,Motif_98,0.8470184
579,Seam,Motif_98,0.45389068
580,Coelomocytes,Motif_100,-0.69840306
581,Germ,Motif_100,-0.2696939
582,Intestine,Motif_100,0.094983384
583,Muscle,Motif_100,0.029803842
584,Neuron,Motif_100,0.03192219
585,Non-seam,Motif_100,-0.638756
586,Pharyn,Motif_100,-0.2023974
587,Precursors,Motif_100,0.5245828
588,Rectum,Motif_100,0.11267699
589,Seam,Motif_100,0.3122161
590,Coelomocytes,Motif_102,0.1395003
591,Germ,Motif_102,0.52940714
592,Intestine,Motif_102,0.6458893
593,Muscle,Motif_102,0.4808651
594,Neuron,Motif_102,-0.103049695
595,Non-seam,Motif_102,-0.81102073
596,Pharyn,Motif_102,-1.1018701
597,Precursors,Motif_102,-1.5201442
598,Rectum,Motif_102,-1.2688509
599,Seam,Motif_102,-0.7677142
600,Coelomocytes,Motif_104,-0.28766072
601,Germ,Motif_104,-0.07513912
602,Intestine,Motif_104,-0.1671209
603,Muscle,Motif_104,-0.08894928
604,Neuron,Motif_104,-0.84028643
605,Non-seam,Motif_104,0.84958756
606,Pharyn,Motif_104,0.29718453
607,Precursors,Motif_104,0.6347016
608,Rectum,Motif_104,-0.002585066
609,Seam,Motif_104,0.57682836
610,Coelomocytes,Motif_107,0.47234756
611,Germ,Motif_107,0.25074416
612,Intestine,Motif_107,0.11918209
613,Muscle,Motif_107,-0.1760108
614,Neuron,Motif_107,-0.023936173
615,Non-seam,Motif_107,0.39923617
616,Pharyn,Motif_107,0.59807646
617,Precursors,Motif_107,0.25544447
618,Rectum,Motif_107,0.59427243
619,Seam,Motif_107,0.14920375
620,Coelomocytes,Motif_111,0.25389168
621,Germ,Motif_111,0.38606256
622,Intestine,Motif_111,0.520452
623,Muscle,Motif_111,0.1750408
624,Neuron,Motif_111,-0.94430494
625,Non-seam,Motif_111,0.8432105
626,Pharyn,Motif_111,-0.2298779
627,Precursors,Motif_111,-1.0066608
628,Rectum,Motif_111,-1.0475289
629,Seam,Motif_111,-0.20925233
630,Coelomocytes,Motif_112,0.6206659
631,Germ,Motif_112,0.1366819
632,Intestine,Motif_112,-0.36871088
633,Muscle,Motif_112,-0.12082488
634,Neuron,Motif_112,-0.19278926
635,Non-seam,Motif_112,1.0415514
636,Pharyn,Motif_112,0.68130714
637,Precursors,Motif_112,-0.17845024
638,Rectum,Motif_112,0.24351163
639,Seam,Motif_112,-0.049394447
640,Coelomocytes,Motif_113,-0.1863136
641,Germ,Motif_113,0.0032031145
642,Intestine,Motif_113,0.08049635
643,Muscle,Motif_113,0.18687099
644,Neuron,Motif_113,0.55477834
645,Non-seam,Motif_113,-1.1492218
646,Pharyn,Motif_113,-0.48277047
647,Precursors,Motif_113,-0.31310964
648,Rectum,Motif_113,0.008775924
649,Seam,Motif_113,-0.29125607
650,Coelomocytes,Motif_116,-0.08903522
651,Germ,Motif_116,0.023979053
652,Intestine,Motif_116,0.2230856
653,Muscle,Motif_116,0.27975598
654,Neuron,Motif_116,0.5231451
655,Non-seam,Motif_116,-1.1147213
656,Pharyn,Motif_116,-0.8250827
657,Precursors,Motif_116,-0.93455493
658,Rectum,Motif_116,-0.5339852
659,Seam,Motif_116,-0.5916836
660,Coelomocytes,Motif_117,0.80897826
661,Germ,Motif_117,-0.42059523
662,Intestine,Motif_117,0.8701741
663,Muscle,Motif_117,-0.10670274
664,Neuron,Motif_117,-0.033653192
665,Non-seam,Motif_117,0.21496913
666,Pharyn,Motif_117,0.3841556
667,Precursors,Motif_117,-0.08666668
668,Rectum,Motif_117,0.84993434
669,Seam,Motif_117,0.024450617
670,Coelomocytes,Motif_118,-0.35034645
671,Germ,Motif_118,-0.46893573
672,Intestine,Motif_118,-0.43733457
673,Muscle,Motif_118,0.18785927
674,Neuron,Motif_118,0.9086931
675,Non-seam,Motif_118,-0.49722275
676,Pharyn,Motif_118,-0.5076849
677,Precursors,Motif_118,-0.50810695
678,Rectum,Motif_118,-0.50810695
679,Seam,Motif_118,-0.5055573
680,Coelomocytes,Motif_119,-0.4158527
681,Germ,Motif_119,-0.13445564
682,Intestine,Motif_119,0.016002042
683,Muscle,Motif_119,0.048137087
684,Neuron,Motif_119,0.5083101
685,Non-seam,Motif_119,-1.162789
686,Pharyn,Motif_119,-0.4412886
687,Precursors,Motif_119,0.32707906
688,Rectum,Motif_119,0.17308897
689,Seam,Motif_119,0.020092849
690,Coelomocytes,Motif_121,-0.6725523
691,Germ,Motif_121,-0.22929339
692,Intestine,Motif_121,-0.25946778
693,Muscle,Motif_121,-0.00042184844
694,Neuron,Motif_121,0.21439381
695,Non-seam,Motif_121,-0.5986596
696,Pharyn,Motif_121,-0.26926348
697,Precursors,Motif_121,0.34578192
698,Rectum,Motif_121,0.06395273
699,Seam,Motif_121,0.22560911
700,Coelomocytes,Motif_122,-0.23091848
701,Germ,Motif_122,-0.076912045
